path,label,split
data\positives\vangogh\Vincent_van_Gogh_668.jpg,1,train
data\positives\vangogh\Vincent_van_Gogh_67.jpg,1,train
data\negatives\Henri_de_Toulouse-Lautrec_5.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_705.jpg,1,train
data\negatives\Henri_Matisse_174.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_287.jpg,1,train
data\negatives\Albrecht_Du╠êrer_316.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_830.jpg,1,train
data\negatives\William_Turner_38.jpg,0,train
data\negatives\Camille_Pissarro_11.jpg,0,train
data\negatives\Rene_Magritte_41.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_641.jpg,1,train
data\positives\vangogh\Vincent_van_Gogh_700.jpg,1,train
data\positives\vangogh\Vincent_van_Gogh_775.jpg,1,train
data\positives\vangogh\Vincent_van_Gogh_258.jpg,1,train
data\negatives\Paul_Klee_94.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_231.jpg,1,train
data\positives\vangogh\Vincent_van_Gogh_9.jpg,1,train
data\negatives\Edgar_Degas_39.jpg,0,train
data\negatives\Alfred_Sisley_165.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_536.jpg,1,train
data\negatives\Alfred_Sisley_241.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_832.jpg,1,train
data\negatives\Paul_Gauguin_228.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_616.jpg,1,train
data\negatives\Edvard_Munch_50.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_560.jpg,1,train
data\negatives\Marc_Chagall_103.jpg,0,train
data\negatives\Pierre-Auguste_Renoir_285.jpg,0,train
data\negatives\Hieronymus_Bosch_75.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_728.jpg,1,train
data\negatives\Edgar_Degas_266.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_688.jpg,1,train
data\positives\vangogh\Vincent_van_Gogh_222.jpg,1,train
